player,t20_batting_avg,t20_bowling_avg,t20_batting_sr,t20_bowling_sr,t20_bowling_econ,ipl_batting_avg,ipl_bowling_avg,ipl_batting_sr,ipl_bowling_sr,ipl_bowling_econ
Hardik Pandya,27.35,26.58,141.02,19.4,8.22,28.69,33.59,145.62,22.16,9.1
Rohit Sharma,,,,,,,,,,
Suryakumar Yadav,37.08,2.5,164.21,3.0,5.0,32.09,0.0,145.33,0.0,8.0
Jasprit Bumrah,2.67,17.85,57.15,16.85,6.36,9.71,22.52,87.18,18.5,7.3
Ryan Rickelton,21.17,0.0,134.16,0.0,0.0,29.85,0.0,150.98,0.0,0
Sherfane Rutherford,20.93,46.0,139.53,27.0,10.22,15.14,59.0,101.92,41.0,8.63
Naman Dhir,0.0,0.0,0.0,0.0,0.0,23.33,0.0,177.22,0.0,11.79
Will Jacks,17.43,26.33,135.48,16.0,9.88,32.86,50.0,175.57,27.0,11.11
Shardul Thakur,23.0,23.39,181.58,15.33,9.15,12.28,30.52,138.91,19.85,9.23
Trent Boult,8.29,21.43,90.63,16.73,7.68,10.38,26.69,106.41,19.31,8.29
AM Ghazanfar,3.5,87.0,87.5,72.0,7.25,0,0.0,0,0.0,0
Mitchell Santner,16.7,22.88,120.1,19.39,7.08,11.67,28.13,98.59,24.4,6.92
Tilak Varma,53.44,14.67,149.15,15.0,5.87,39.86,0.0,146.33,0.0,7.64
Quinton de Kock,31.14,0.0,138.09,0.0,0.0,31.26,-,134.23,-,-
Robin Minz,0.0,0.0,0.0,0.0,0.0,3,0.0,40.00,0.0,0
Deepak Chahar,26.5,24.1,189.29,17.42,8.3,11.43,28.84,135.59,21.68,7.98
Ashwani Kumar,0.0,0.0,0.0,0.0,0.0,,,,,
Mayank Markande,0.0,0.0,0.0,0.0,7.75,16.0,28.89,114.29,19.46,8.91
Raj Bawa,0.0,0.0,0.0,0.0,0.0,5.5,-,78.57,-,-
Corbin Bosch,18.87,45.05,120.8,33.1,8.16,23.5,55.0,146.88,42.0,7.86
Danish Malewar,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0
Atharva Ankolekar,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0
Mayank Rawat,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0
Raghu Sharma,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0
Mohd Izhar,,,,,,,,,,
Ruturaj Gaikwad,39.56,0.0,143.54,0.0,0.0,41.75,-,136.86,-,-
Dewald Brevis,34.5,0.0,192.74,0.0,0.0,23.0,8.0,133.72,3.0,0.0
MS Dhoni,37.6,0.0,126.14,0.0,0.0,39.13,-,137.54,-,-
Kartik Sharma,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0
Sarfaraz Khan,0.0,0.0,0.0,0.0,0.0,22.5,0.0,130.58,0.0,0.0
Ayush Matre,,,,,,,,,,
Urvil Patel,0.0,0.0,0.0,0.0,0.0,22.67,0.0,212.50,0.0,0
Sanju Samson,26.13,0.0,147.99,0.0,0.0,30.69,-,138.96,-,-
Aman Khan,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0
Shivam Dubey,,,,,,,,,,
Zak Foulkes,,,,,,,,,,
Ramakrishna Ghosh,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0
Anshul Kamboj,0.0,0.0,0.0,0.0,0.0,0.0,57.0,100.0,30.0,11.4
Jamie Overton,9.0,17.8,108.0,13.0,8.22,0,0.0,214.29,0.0,13.83
Matthew Short,22.07,15.38,156.88,8.25,11.18,19.5,0.0,127.17,0.0,6.25
Prashant Veer,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0
Khaleel Ahmed,0.0,35.13,50.0,24.75,8.52,0.2,25.42,14.29,17.24,8.84
Rahul Chahar,5.0,23.86,100.0,18.86,7.59,8.06,28.55,104.03,22.19,7.72
Shreyas Gopal,0.0,0.0,0.0,0.0,0.0,12.86,25.92,106.51,19.06,8.16
Matt Henry,5.0,22.38,83.34,16.1,8.34,-,90.5,-,51.0,10.65
Gurjapneet Singh,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0
Akeal Hosein,15.26,26.62,111.97,22.21,7.19,0.0,40.0,160.0,24.0,10.0
Mukesh Choudhary,0.0,0.0,0.0,0.0,0.0,6.0,28.19,100.0,17.44,9.7
Spencer Johnson,0.0,17.07,0.0,11.43,8.96,0.0,37.75,85.71,24.0,9.44
Noor Ahmad ,,,,,,,,,,
Nathan Ellis,6.0,18.8,60.0,14.39,7.84,4.75,28.22,76.0,19.67,8.61
Ajinkya Rahane,20.83,0.0,113.3,0.0,0.0,30.14,5.0,123.42,6.0,5.0
Rinku Singh,42.31,1.5,161.77,3.0,3.0,30.79,-,143.34,-,-
Finn Allen,25.2,0.0,163.28,0.0,0.0,0,0.0,0,0.0,0
Rahul Tripathi,19.4,0.0,144.78,0.0,0.0,26.94,0.0,139.31,0.0,12.0
Manish Pandey,44.31,0.0,126.16,0.0,0.0,29.17,-,121.11,-,-
Rovman Powell,25.67,43.4,141.45,26.2,9.94,18.95,35.0,147.54,18.0,11.67
Angkrish Raghuvanshi,0.0,0.0,0.0,0.0,0.0,23.29,-,155.24,-,-
Ramandeep Singh,15.0,42.0,250.0,20.0,12.6,28.33,10.5,166.67,6.67,9.45
Sarthak Ranjan,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0
Tim Seifert,29.46,0.0,141.94,0.0,0.0,8.67,-,113.04,-,-
Tejasvi Dahiya,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0
Daksh Kamra,,,,,,,,,,
Sunil Narine,10.33,21.25,112.32,21.19,6.02,17.04,25.39,165.84,22.64,6.73
Cameron Green,32.56,23.25,160.31,15.67,8.9,41.59,41.5,153.7,27.44,9.08
Rachin Ravindra,20.0,21.0,137.31,19.29,6.53,22.2,0.0,160.87,0.0,3.5
Anukul Roy,0.0,0.0,0.0,0.0,0.0,8.67,38.2,108.33,27.2,8.43
Vaibhav Arora,0.0,0.0,0.0,0.0,0.0,4.5,30.84,56.25,20.16,9.18
Saurabh Dubey,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0
Kartik Tyagi,0.0,0.0,0.0,0.0,0.0,3.25,47.53,81.25,28.13,10.14
Navdeep Saini,0.0,18.08,109.1,15.15,7.16,8.25,42.35,89.19,28.61,8.88
Prashant Solanki,0.0,26.0,0.0,24.0,6.5,-,19.0,-,18.0,6.33
Umran Malik,0.0,22.09,250.0,12.64,10.49,11.5,26.62,143.75,17.0,9.4
Akash Deep,0.0,0.0,0.0,0.0,0.0,9.5,45.57,158.33,23.43,11.67
Varun Chakravarthy,,,,,,,,,,
Harshit Rana,0.0,22.4,162.5,13.2,10.18,1.0,23.24,66.67,15.4,9.05
Mustafizur Rahman,4.95,21.02,75.0,17.21,7.33,13.0,28.89,56.52,21.28,8.14
Blessing Muzarabani,3.27,22.35,68.06,18.77,7.15,0,0.0,0,0.0,0
Matheesha Pathirana,3.4,18.39,53.13,12.65,8.72,-,17.41,-,13.26,7.88
Rajat Patidar,0.0,0.0,0.0,0.0,0.0,34.74,-,158.85,-,-
Virat Kohli,48.7,51.0,137.05,38.0,8.05,38.67,92.0,131.97,62.75,8.8
Tim David,36.76,51.0,168.2,32.8,9.33,28.65,-,170.28,-,-
Devdutt Padikal,,,,,,,,,,
Phil Salt,,,,,,,,,,
Jitesh Sharma,14.29,0.0,147.06,0.0,0.0,22.81,-,151.14,-,-
Jordan Cox,22.0,0.0,131.35,0.0,0.0,0,0.0,0,0.0,0
Venkatesh Iyer,33.25,15.0,162.2,11.0,8.18,31.57,47.67,137.13,27.0,10.59
Krunal Pandya,24.8,36.93,130.53,27.33,8.11,21.96,34.29,132.82,27.92,7.37
Mangesh Yadav,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0
Vihaan Malhotra,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0
Jacob Bethell,30.15,27.75,155.56,16.5,10.09,33.5,0.0,171.80,0.0,0
Romario Shepherd,24.7,29.28,142.53,17.38,10.11,23.0,64.25,182.54,31.5,12.24
Kanishk Chouhan,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0
Jacob Duffy,5.25,18.21,80.77,14.6,7.48,0,0.0,0,0.0,0
Josh Hazlewood,9.67,21.62,103.58,17.18,7.55,0.0,23.14,67.86,17.23,8.06
Nuwan Thushara,4.5,20.94,52.95,15.81,7.95,-,32.12,-,19.5,9.88
Bhuvneshwar Kumar,8.38,23.1,71.28,19.9,6.96,8.74,27.23,93.87,21.6,7.56
Yash Dayal,0.0,0.0,0.0,0.0,0.0,0.0,32.86,0.0,20.61,9.57
Suyash Sharma,0.0,0.0,0.0,0.0,0.0,-,37.2,-,25.8,8.65
Swapnil Singh,0.0,0.0,0.0,0.0,0.0,10.2,34.43,113.33,23.14,8.93
Rasikh Salam,0.0,0.0,0.0,0.0,0.0,8.0,37.67,100.0,21.67,10.43
Vicky Ostwal,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0
Satvik Deswal,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0
Abhinandan Singh,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0
Shubman Gill,28.2,0.0,141.29,0.0,0.0,37.84,-,135.7,-,-
Sai Sudharsan,0.0,0.0,0.0,0.0,0.0,47.0,-,139.17,-,-
Shahrukh Khan,0.0,0.0,0.0,0.0,0.0,19.75,0.0,141.43,0.0,7.5
Jos Buttler,35.5,0.0,148.98,0.0,0.0,38.11,-,147.53,-,-
Tom Banton,23.44,0.0,149.12,0.0,0.0,9.0,-,90.0,-,-
Anuj Rawat,0.0,0.0,0.0,0.0,0.0,19.88,-,119.1,-,-
