team_no,team_name,player,nationality,role,designation,t20_batting_avg,t20_bowling_avg,t20_batting_sr,t20_bowling_sr,t20_bowling_econ,ipl_batting_avg,ipl_bowling_avg,ipl_batting_sr,ipl_bowling_sr,ipl_bowling_econ
1,Mumbai Indians,Hardik Pandya,Indian,All Rounder,Captain,27.35,26.58,141.02,19.4,8.22,28.69,33.59,145.62,22.16,9.1
1,Mumbai Indians,Rohit Sharma,Indian,Batter,,,,,,,,,,,
1,Mumbai Indians,Suryakumar Yadav,Indian,Batter,,37.08,2.5,164.21,3.0,5.0,32.09,0.0,145.33,0.0,8.0
1,Mumbai Indians,Jasprit Bumrah,Indian,Bowler,,2.67,17.85,57.15,16.85,6.36,9.71,22.52,87.18,18.5,7.3
1,Mumbai Indians,Ryan Rickelton,Overseas,Wicket Keeper,,21.17,0.0,134.16,0.0,0.0,29.85,0.0,150.98,0.0,0
1,Mumbai Indians,Sherfane Rutherford,Overseas,Batter,,20.93,46.0,139.53,27.0,10.22,15.14,59.0,101.92,41.0,8.63
1,Mumbai Indians,Naman Dhir,Indian,All Rounder,,0.0,0.0,0.0,0.0,0.0,23.33,0.0,177.22,0.0,11.79
1,Mumbai Indians,Will Jacks,Overseas,All Rounder,,17.43,26.33,135.48,16.0,9.88,32.86,50.0,175.57,27.0,11.11
1,Mumbai Indians,Shardul Thakur,Indian,All Rounder,,23.0,23.39,181.58,15.33,9.15,12.28,30.52,138.91,19.85,9.23
1,Mumbai Indians,Trent Boult,Overseas,Bowler,,8.29,21.43,90.63,16.73,7.68,10.38,26.69,106.41,19.31,8.29
1,Mumbai Indians,AM Ghazanfar,Overseas,Bowler,,3.5,87.0,87.5,72.0,7.25,0,0.0,0,0.0,0
1,Mumbai Indians,Mitchell Santner,Overseas,All Rounder,,16.7,22.88,120.1,19.39,7.08,11.67,28.13,98.59,24.4,6.92
1,Mumbai Indians,Tilak Varma,Indian,Batter,,53.44,14.67,149.15,15.0,5.87,39.86,0.0,146.33,0.0,7.64
1,Mumbai Indians,Quinton de Kock,Overseas,Wicket Keeper,,31.14,0.0,138.09,0.0,0.0,31.26,-,134.23,-,-
1,Mumbai Indians,Robin Minz,Indian,Wicket Keeper,,0.0,0.0,0.0,0.0,0.0,3,0.0,40.00,0.0,0
1,Mumbai Indians,Deepak Chahar,Indian,Bowler,,26.5,24.1,189.29,17.42,8.3,11.43,28.84,135.59,21.68,7.98
1,Mumbai Indians,Ashwani Kumar,Indian,Bowler,,0.0,0.0,0.0,0.0,0.0,,,,,
1,Mumbai Indians,Mayank Markande,Indian,Bowler,,0.0,0.0,0.0,0.0,7.75,16.0,28.89,114.29,19.46,8.91
1,Mumbai Indians,Raj Bawa,Indian,All Rounder,,0.0,0.0,0.0,0.0,0.0,5.5,-,78.57,-,-
1,Mumbai Indians,Corbin Bosch,Overseas,All Rounder,,18.87,45.05,120.8,33.1,8.16,23.5,55.0,146.88,42.0,7.86
1,Mumbai Indians,Danish Malewar,Indian,Batter,,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0
1,Mumbai Indians,Atharva Ankolekar,Indian,All Rounder,,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0
1,Mumbai Indians,Mayank Rawat,Indian,All Rounder,,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0
1,Mumbai Indians,Raghu Sharma,Indian,Bowler,,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0
1,Mumbai Indians,Mohd Izhar,Indian,Bowler,,,,,,,,,,,
2,Chennai Super Kings,Ruturaj Gaikwad,Indian,Batter,Captain,39.56,0.0,143.54,0.0,0.0,41.75,-,136.86,-,-
2,Chennai Super Kings,Dewald Brevis,Overseas,Batter,,34.5,0.0,192.74,0.0,0.0,23.0,8.0,133.72,3.0,0.0
2,Chennai Super Kings,MS Dhoni,Indian,Wicket Keeper,,37.6,0.0,126.14,0.0,0.0,39.13,-,137.54,-,-
2,Chennai Super Kings,Kartik Sharma,Indian,Wicket Keeper,,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0
2,Chennai Super Kings,Sarfaraz Khan,Indian,Batter,,0.0,0.0,0.0,0.0,0.0,22.5,0.0,130.58,0.0,0.0
2,Chennai Super Kings,Ayush Matre,Indian,Batter,,,,,,,,,,,
2,Chennai Super Kings,Urvil Patel,Indian,Batter,,0.0,0.0,0.0,0.0,0.0,22.67,0.0,212.50,0.0,0
2,Chennai Super Kings,Sanju Samson,Indian,Wicket Keeper,,26.13,0.0,147.99,0.0,0.0,30.69,-,138.96,-,-
2,Chennai Super Kings,Aman Khan,Indian,All Rounder,,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0
2,Chennai Super Kings,Shivam Dubey,Indian,All Rounder,,,,,,,,,,,
2,Chennai Super Kings,Zak Foulkes,Overseas,All Rounder,,,,,,,,,,,
